kepid_x,kepoi_name,koi_tce_plnt_num,koi_pdisposition,koi_score,koi_period,koi_max_mult_ev,koi_prad,koi_prad_err1,koi_prad_err2,koi_ror,koi_ror_err1,koi_ror_err2,radius,radius_err1,radius_err2,teff,corrected_prad,corrected_prad_err1,corrected_prad_err2,rowid,kepid_y,fpp_koi_period,fpp_prob,fpEffectiveness,obsFpRate,reliability,fpp_prob_use,totalReliability
6880517,K03305.01,1,CANDIDATE,0.97,65.6491001,15.467764,2.52,0.52,-0.22,0.028187,0.001394,-0.0007700000000000001,0.755,0.07,-0.063,5436,2.3290524170179965,0.2447384530939985,-0.20449427012941335,4503,6880517,65.649,0.002,0.9957090903032642,0.07211570998126632,0.9996650708367054,0.002,0.997665740695032
6615511,K03306.01,1,CANDIDATE,1.0,25.1593389,11.736576,1.76,0.53,-0.17,0.017285,0.000763,-0.001249,1.202,0.11699999999999999,-0.10400000000000001,5973,2.2738264140762645,0.24302498804662903,-0.2563231400753091,4504,6615511,25.159,9.2e-05,0.9733560922255937,0.05842526114562773,0.998301474645887,9.2e-05,0.9982096309102196
6131130,K03307.01,1,CANDIDATE,0.9640000000000001,10.5071781,9.460531,1.41,0.24,-0.19,0.014877,0.001311,-0.000724,0.7440000000000001,0.061,-0.055,5290,1.2113558868613141,0.1458053395565751,-0.10721162559631713,4505,6131130,10.507,0.025,0.9233400794362202,0.06580075952481095,0.9941521250892215,0.025,0.969298321961991
8905246,K03473.01,1,CANDIDATE,1.0,27.63714708,27.21433,6.96,2.44,-4.53,0.026279000000000004,0.007298999999999998,-0.001932,0.725,0.031,-0.028999999999999998,5214,2.085116366332117,0.5859641705823297,-0.1745157808968004,4568,8905246,27.637,0.024,0.9993465000359597,0.0020281687199838173,0.9999986710297178,0.024,0.9759987029250046
7742408,K03478.01,1,CANDIDATE,0.998,33.4969115,12.134801,2.97,1.64,-1.47,0.016111,0.000326,-0.004921,0.718,0.053,-0.048,4928,1.2659903565630504,0.09689801884422097,-0.39584213071565494,4607,7742408,33.497,0.00044,0.9788985629510535,0.06597693969716223,0.9984773190651316,0.00044,0.998037989044743
11521793,K00352.01,1,CANDIDATE,1.0,27.08239734,35.60331,3.25,0.52,-0.64,0.022782,0.000161,-0.003413,1.338,0.06,-0.057,5857,3.3360412851120063,0.15144456532482303,-0.519590420938759,345,11521793,27.082,0.004,0.9993744516098924,0.0003028331344512771,0.9999998103872232,0.004,0.9959998111456743
11521793,K00352.02,2,CANDIDATE,0.998,16.00747237,13.494022,2.99,0.48,-0.59,0.020964,0.000528,-0.006016,1.338,0.06,-0.057,5857,3.0698257177196075,0.15788682022371664,-0.8905963200795148,346,11521793,16.007,0.74,0.986248109543393,0.03180288017983538,0.9995419858587687,0.74,0.25988091632327986
4164922,K03864.01,1,CANDIDATE,1.0,1.210693626,29.148912,0.99,0.05,-0.06,0.01198,0.002263,-0.000586,0.718,0.03,-0.028999999999999998,5014,0.941379459476466,0.18212301975798195,-0.0597165096510545,4679,4164922,1.211,0.00024,0.9993599085803633,0.0006554019409565189,0.9999995799388309,0.00024,0.9997595800396456
4164922,K03864.02,2,CANDIDATE,0.9990000000000001,18.2572722,10.208249,0.94,0.05,-0.05,0.011442,0.000359,-0.000659,0.718,0.03,-0.028999999999999998,5014,0.899103820979109,0.04697958906293186,-0.06324806422177522,4680,4164922,18.257,0.00069,0.946808922701047,0.06802045300758741,0.9958997571241054,0.00069,0.9952125862916897
10360722,K04051.01,1,CANDIDATE,0.996,163.692336,15.790156,2.75,0.11,-0.21,0.029844,0.001623,-0.000798,0.867,0.040999999999999995,-0.039,4989,2.8317804844575885,0.2040805294636371,-0.14818682187195925,5475,10360722,163.692,0.026,0.9979729247605356,0.4846866211459638,0.998089527793858,0.026,0.9721392000712177
3733628,K00387.01,1,CANDIDATE,1.0,13.89963233,116.682816,2.46,0.1,-0.13,0.034031,0.000161,-0.003725,0.684,0.028999999999999998,-0.027000000000000003,4538,2.5475004440599043,0.10867840585337715,-0.296424959992624,474,3733628,13.9,9.4e-07,0.999375167613531,2.52492862398694e-12,0.9999999999999984,9.4e-07,0.9999990599999985
1718958,K04053.01,1,CANDIDATE,0.985,1.41975831,14.809012,0.85,0.13,-0.08,0.007542,0.003581000000000001,-0.000767,0.9990000000000001,0.043,-0.040999999999999995,5925,0.8245850790649384,0.3931248575545774,-0.09042912911298903,5477,1718958,1.42,0.25,0.9910224395104545,0.016373333056979057,0.9998492068360972,0.25,0.7498869051270729
